timestamp,age,industry,job_title,job_context,annual_salary,additional_comp,currency,"If ""Other,"" please indicate the currency here: ",income_context,work_country,work_state,work_city,years_experience_total,years_experience_field,education_level,gender,race,mean_age
4/27/2021 11:02,25-34,"Business, Finance & Consulting",Marketing Specialist,,"34,000",,USD,,,US,Tennessee,Chattanooga,2 - 4 years,2 - 4 years,College degree,Woman,White,29.5
4/27/2021 11:02,25-34,"Business, Finance & Consulting",Accounting Manager,,"60,000",7000.0,USD,,,US,South Carolina,Greenville,8 - 10 years,5-7 years,College degree,Woman,White,29.5
4/27/2021 11:03,45-54,Computing & Technology,Systems Analyst,Data developer/ETL Developer,"112,000",10000.0,USD,,,US,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman,White,49.5
4/27/2021 11:03,35-44,"Business, Finance & Consulting",Senior Accountant,,"45,000",0.0,USD,,I work for a Charter School,United States,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",39.5
4/27/2021 11:03,35-44,"Business, Finance & Consulting",Executive Assistant,,"85,000",5000.0,USD,,,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,Some college,Woman,White,39.5
4/27/2021 11:03,35-44,"Business, Finance & Consulting",Senior Manager,,"98,000",1000.0,USD,,,USA,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman,White,39.5
4/27/2021 11:03,35-44,Government & Public Services,Researcher,,"96,000",1000.0,USD,,,United States,Ohio,Dayton,8 - 10 years,2 - 4 years,PhD,Woman,Asian or Asian American,39.5
4/27/2021 11:03,35-44,Government & Public Services,Economist,,"140,000",,USD,,,USA,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White,39.5
4/27/2021 11:03,25-34,Engineering & Industrial,Research Engineer,,"80,000",,USD,,,United States,Texas,San Antonio,5-7 years,5-7 years,College degree,Woman,White,29.5
4/27/2021 11:03,35-44,Computing & Technology,Editor,,"125,000",0.0,USD,,,USA,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,White,39.5
4/27/2021 11:03,25-34,"Business, Finance & Consulting",Financial Advisor,,"230,000",,USD,,Commission based,USA,Missouri,St. Louis,11 - 20 years,11 - 20 years,College degree,Woman,White,29.5
4/27/2021 11:03,35-44,"Business, Finance & Consulting",Accounting Manager,,"110,000",15000.0,USD,,,US,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman,White,39.5
4/27/2021 11:03,18-24,Computing & Technology,Reporter,,"41,000",100.0,USD,,,United States,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Woman,White,21.0
4/27/2021 11:03,25-34,"Business, Finance & Consulting",Receptionist,,"37,000",0.0,USD,,,USA,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman,White,29.5
4/27/2021 11:04,45-54,Engineering & Industrial,Lead Engineer,supervisor level with no direct reports,"100,000",50000.0,USD,,,USA,Georgia,waynesboro,21 - 30 years,21 - 30 years,College degree,Woman,White,49.5
4/27/2021 11:04,35-44,"Business, Finance & Consulting",Senior Copywriter,,"35,000",6000.0,GBP,,,UK,,Liverpool,11 - 20 years,11 - 20 years,College degree,Woman,White,39.5
